id_contrato,tipo_imovel,cidade,bairro,valor_aluguel,taxa_administracao,garantia,reajuste,inicio_contrato,fim_contrato,vigencia_meses,status,inadimplente
CTR-2026-0085,Apartamento,Jundiaí,Anhangabaú,2250,202.5,Caução,IGP-M,2025-06-19,2026-06-19,12,Ativo,1
CTR-2025-0086,Apartamento,Jundiaí,Centro,3300,264.0,Caução,IGP-M,2025-07-09,2028-07-08,36,Ativo,1
CTR-2026-0087,Galpão,Santos,Embaré,11450,1145.0,Fiador,IPCA,2025-03-08,2026-03-08,12,Ativo,0
CTR-2025-0088,Apartamento,Jundiaí,Centro,4650,418.5,Caução,IGP-M,2026-04-17,2027-04-17,12,Ativo,0
CTR-2026-0089,Sala Comercial,Ribeirão Preto,Ribeirânia,3800,304.0,Capitalização,IGP-M,2025-05-24,2028-05-23,36,Ativo,1
CTR-2025-0090,Casa,Jundiaí,Vila Arens,5750,517.5,Seguro Fiança,IPCA,2026-01-22,2028-01-22,24,Encerrado,0
CTR-2026-0091,Loja,São José dos Campos,Jardim Aquarius,1400,126.0,Fiador,IGP-M,2025-05-29,2027-11-28,30,Ativo,0
CTR-2025-0092,Loja,Santos,Embaré,4500,405.0,Fiador,IPCA,2025-08-26,2028-02-25,30,Ativo,0
CTR-2026-0093,Sala Comercial,São Paulo,Santana,3800,304.0,Fiador,IGP-M,2026-04-17,2029-04-16,36,Ativo,0
CTR-2025-0094,Loja,Sorocaba,Campolim,2200,198.0,Capitalização,IPCA,2026-03-28,2029-03-27,36,Ativo,0
CTR-2026-0095,Casa,São José dos Campos,Centro,5450,545.0,Capitalização,IGP-M,2026-02-09,2028-08-10,30,Ativo,0
CTR-2025-0096,Loja,São José dos Campos,Jardim Aquarius,4000,320.0,Caução,IPCA,2025-11-21,2028-11-20,36,Ativo,0
CTR-2026-0097,Apartamento,Ribeirão Preto,Centro,1600,128.0,Fiador,IGP-M,2026-01-29,2027-01-29,12,Ativo,0
CTR-2025-0098,Apartamento,Santos,Boqueirão,2650,265.0,Fiador,IPCA,2025-07-15,2028-07-14,36,Ativo,1
CTR-2026-0099,Casa,São José dos Campos,Centro,3050,244.0,Capitalização,IPCA,2025-02-14,2028-02-14,36,Em renovação,0
CTR-2025-0100,Sala Comercial,Jundiaí,Anhangabaú,1950,156.0,Seguro Fiança,IGP-M,2025-12-12,2026-12-12,12,Ativo,0
